filename,text
1_1.wav,সোণালী বলৰ ওপৰত সোণৰ ধাৰ্মিক ক্ৰছ
2_1.wav,গ্লাছ কেণ্ডেল ষ্টেণ্ডত মমবাতি
3_1.wav,টেনিছ কোৰ্টৰ কাষত এখন নীলা দেৱাল
4_1.wav,মিহি কৈ থকা ৰঙা চুলি
5_1.wav,মটৰচাইকেলৰ সন্মুখত মোটোক্ৰছ স্প্ৰিংছ
6_1.wav,এই টেনিছ কোৰ্টখন বালি আৰু ধুলিৰে নিৰ্মিত
7_1.wav,চকীত বহি থকা আদালতৰ পৰিচাৰক
8_1.wav,এটা চূড়াৰ ওপৰত এটা ক্ৰছ
9_1.wav,ক্ৰছটো ক ' লা
0_1.wav,কিতাপ ষ্টেণ্ডত কিতাপৰ এটা গোট
1001_1.wav,তিনিজন খেলুৱৈয়ে হেলমেট পিন্ধি আছে ।
1002_1.wav,এটা অ - ইংৰাজী সংকেত
1003_1.wav,আদালতত দৌৰি থকা খেলুৱৈ
1004_1.wav,আদালতত থকা মহিলাগৰাকী
1005_1.wav,এটা ঘূৰণীয়া কনচাৰ্ট ব্লক
1006_1.wav,প্লেটত ফাষ্ট ফুডৰ সামগ্ৰী
1007_1.wav,দ্বিতীয় গল্প উইন্ডোৰ বাওঁ কোণত ওপৰৰ উইন্ডো পেইন
1008_1.wav,আদালতত সীমা ৰেখা
1009_1.wav,বাওঁফালৰ পৰা দ্বিতীয় কাঠৰ উলম্ব
1000_1.wav,খাদ্য ষ্টেণ্ডত থিয় হৈ থকা এজন ব্যক্তি ।
101_1.wav,দ্বিতীয় মহলালৈ যোৱা মুগা কাঠৰ চিৰি
102_1.wav,বহু নিখুঁত কাপোৰ আৰু সামগ্ৰী
103_1.wav,চাৰিআলিটো অৱৰোধ নকৰিব সংকটৰ ওপৰৰ সোঁ লেনটো সোঁফালে ঘূৰিব লাগে
104_1.wav,মটৰচাইকেলবোৰ দ্ৰুতগতিত গৈ আছে
